"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"319","Yuta Watanabe","Bro","G-F","28.4","46","17.7","13","8.6","41","0.756","87","0.563","115","0.461","0.636","0.654","6.3","2.6","0.8","0.5","0.3","0.4","8.9","7.1","9.7","5.3","127.8","110.6"
"320","Andre Drummond","Chi","C","29.6","54","12.9","21.1","21.6","100","0.54","226","0.624","2","0","0.618","0.618","6.2","6.7","0.6","0.6","0.3","1.2","12.9","6.8","13.4","9.1","116.3","93.4"
"321","Sam Hauser","Bos","F","25.3","66","15.8","14.5","6.8","17","0.706","49","0.653","265","0.423","0.637","0.641","6.2","2.5","0.7","0.3","0.3","0.3","8.8","7","9.5","5.6","124.3","107.2"
"322","Mike Muscala","Okc","F-C","31.7","43","14.5","15.7","6.4","39","0.795","61","0.541","142","0.394","0.576","0.602","6.2","3.1","0.9","0.3","0.4","0.3","9.3","7","10.2","7.1","124.8","105"
"323","Dru Smith","Bro","G","25.2","5","11.3","20.7","3.8","1","1","13","0.692","12","0.333","0.6","0.609","6.2","1.8","2","1","0.2","0.2","8","8.2","10","10","130.5","105.6"
"324","Xavier Tillman","Mem","F","24.2","47","17.5","13.8","13","70","0.529","198","0.616","15","0.267","0.601","0.601","6.2","4.7","1.4","0.9","0.4","0.7","10.9","7.6","12.3","7.9","126.1","103.6"
"325","Obi Toppin","Nyk","F","25","55","14.5","19","8.9","37","0.784","125","0.544","181","0.32","0.507","0.526","6.2","2.9","0.8","0.3","0.2","0.5","9","6.9","9.8","6.7","108.9","109.2"
"326","Drew Eubanks","Por","F-C","26.1","66","19.7","11.4","17.3","103","0.66","236","0.691","7","0.429","0.689","0.699","6.1","5.1","1.2","0.5","1.2","0.8","11.2","7.3","12.4","6.8","136.1","107.7"
"327","Jalen McDaniels","Phi","F-C","25.1","13","15.9","16","11","25","0.8","45","0.556","11","0.273","0.527","0.59","6.1","3.5","0.7","0.5","0","0.5","9.6","6.8","10.3","6.2","121.7","97.5"
"328","Patty Mills","Bro","G","34.6","38","13.6","19.8","11.9","23","0.913","70","0.486","123","0.382","0.541","0.566","6.1","1.1","1.4","0.4","0.1","0.7","7.2","7.4","8.5","6.2","109.1","115.6"
"329","Trendon Watford","Por","F","22.3","51","17.6","14.7","21.4","73","0.712","169","0.615","44","0.386","0.608","0.634","6.1","3.6","1.9","0.5","0.1","1.1","9.7","8","11.6","7.9","117.3","108.3"
"330","Nicolas Batum","Lac","G-F","34.2","65","21.9","11.8","12.4","44","0.682","59","0.576","259","0.378","0.569","0.581","6","4.2","1.4","0.6","0.6","0.7","10.2","7.5","11.6","6","117.8","107.4"
"331","Jordan Nwora","Mil","F","24.5","38","15.7","17.6","14.7","43","0.86","95","0.379","102","0.392","0.487","0.53","6","3.1","1","0.3","0.2","0.9","9.1","7","10.1","6.8","105.9","108.2"
"332","Patrick Beverley","Chi","G","34.7","8","28.7","8.8","17","11","0.455","12","0.75","22","0.364","0.618","0.605","5.9","6.4","4.1","0.5","0.8","0.9","12.3","10","16.4","7.5","134.7","107"
"333","Javonte Green","Chi","G-F","29.6","28","16","14","16.1","43","0.674","70","0.686","34","0.382","0.649","0.667","5.9","2.9","0.8","0.8","0.7","0.7","8.8","6.7","9.6","6","125.2","104"
"334","Stanley Johnson","San","F-G","26.8","30","15.6","15.3","21.1","39","0.667","83","0.578","40","0.45","0.61","0.628","5.9","3.2","2.2","0.5","0.2","1.1","9","8.1","11.3","8.9","117.5","111.7"
"335","Charles Bassey","San","C-F","22.4","34","14.7","15.8","23.5","37","0.595","125","0.664","8","0.375","0.658","0.66","5.8","5.7","1.3","0.4","0.9","1.2","11.5","7.1","12.8","9.5","120.5","104.9"
"336","Oshae Brissett","Ind","F-G","24.7","52","16.1","15","8.2","95","0.705","110","0.482","125","0.336","0.494","0.54","5.8","3.4","0.6","0.5","0.2","0.4","9.2","6.3","9.7","5.7","114.7","112"
"337","Wenyen Gabriel","Lal","F","26","54","14.9","14.6","14.3","63","0.619","185","0.665","30","0.3","0.635","0.643","5.8","3.9","0.5","0.3","0.5","0.7","9.6","6.2","10.1","6","124.7","101.8"
"338","Jordan Goodwin","Was","G","24.4","48","17.4","15.8","14.9","49","0.755","165","0.491","75","0.36","0.506","0.535","5.8","3.2","2.5","0.9","0.5","0.9","9","8.3","11.5","8.3","114.5","107.2"
"339","Davion Mitchell","Sac","G","24.5","65","18.1","14.2","13.8","28","0.786","169","0.586","156","0.34","0.549","0.562","5.8","1.3","2.2","0.5","0.2","0.8","7.1","8","9.3","5.6","112.2","112.6"
"340","Dario Saric","Pho","F","28.9","37","14.4","18.7","16.8","44","0.818","109","0.45","69","0.391","0.503","0.545","5.8","3.8","1.5","0.4","0.1","1","9.6","7.4","11.2","8.9","110.6","101.3"
"341","Jaylin Williams","Okc","F","20.7","36","17.9","13.7","13.2","35","0.714","96","0.469","74","0.419","0.538","0.561","5.8","4.8","1.5","0.5","0.3","0.7","10.6","7.3","12","7.8","115","102.1"
"342","Ochai Agbaji","Uta","G","22.9","45","17.3","13","8.7","31","0.742","75","0.573","134","0.366","0.557","0.575","5.7","1.8","0.7","0.2","0.2","0.4","7.5","6.4","8.1","4.5","117.5","113.2"
"343","Vlatko Cancar","Den","F","25.9","49","16.3","13.8","13.3","34","0.912","103","0.583","105","0.4","0.591","0.621","5.7","2.3","1.5","0.4","0.2","0.7","8","7.1","9.5","6.6","121.5","108.5"
"344","Robert Covington","Lac","F","32.2","38","16.4","15.5","11.1","34","0.735","69","0.536","114","0.342","0.522","0.546","5.7","3.7","1.2","0.7","0.8","0.6","9.3","6.9","10.6","7.2","112.8","102.6"
"345","Jae Crowder","Mil","F","32.7","9","18","11.7","9.7","9","0.778","10","0.7","27","0.37","0.595","0.623","5.7","4.1","1.3","0.6","0.4","0.4","9.8","7","11.1","6.9","132.3","103.7"
"346","Dewayne Dedmon","Mia","C","33.6","30","11.7","21.1","12.8","44","0.727","92","0.576","37","0.297","0.539","0.576","5.7","3.6","0.5","0.2","0.5","0.6","9.3","6.2","9.9","7.4","113.3","94.1"
"347","Ousmane Dieng","Okc","F","19.8","25","16.4","15.4","10.5","17","0.588","59","0.593","69","0.304","0.52","0.528","5.7","3.2","1.2","0.4","0.2","0.6","8.9","6.9","10.1","6.8","108","109.2"
"348","R.J. Hampton","Orl","G","22.1","26","13.9","18.1","15.5","37","0.838","61","0.525","53","0.34","0.518","0.572","5.7","1.5","1.3","0.6","0.2","0.8","7.2","7","8.5","6.4","111.5","111.6"
"349","Mike Muscala","Bos","F-C","31.7","9","17","14.6","10","2","0.5","10","0.7","35","0.343","0.556","0.556","5.7","3.1","0.2","0.4","0.3","0.6","8.8","5.9","9","3.6","102.7","104.4"
"350","Goga Bitadze","Orl","C-F","23.6","5","12.2","15.9","4.9","6","0.5","16","0.688","3","0.333","0.658","0.647","5.6","4.6","1","0.2","0.4","0.2","10.2","6.6","11.2","9.7","145","107.7"
"351","Alex Caruso","Chi","G","29","57","24.1","11.2","22.7","69","0.812","119","0.529","129","0.357","0.532","0.575","5.6","3.1","3.1","1.6","0.6","1.3","8.7","8.7","11.8","6.3","112.4","103.8"
"352","Kevin Knox II","Det","F","23.6","42","14.1","16.1","15.1","33","0.788","63","0.651","116","0.371","0.589","0.612","5.6","2.6","0.4","0.3","0.3","0.8","8.2","6","8.6","5.1","109.5","108.1"
"353","John Konchar","Mem","G","27","58","21.5","10.6","9.8","31","0.839","122","0.533","153","0.366","0.542","0.561","5.6","4.4","1.4","1","0.3","0.5","9.9","6.9","11.3","6.1","118.8","105.2"
"354","Saben Lee","Pho","G","23.7","20","14.6","18.2","19.2","47","0.766","65","0.415","19","0.368","0.446","0.53","5.6","1.9","2.7","0.7","0.1","1","7.4","8.2","10.1","8.4","113","107.7"
"355","Theo Maledon","Cha","G","21.8","36","16.1","15.6","18.2","56","0.875","94","0.468","63","0.333","0.481","0.551","5.6","2.4","2.4","0.8","0.2","1","7.9","7.9","10.3","7.9","110.4","111.6"
"356","Derrick Rose","Nyk","G","34.4","27","12.5","23.7","12.1","12","0.917","96","0.438","63","0.302","0.443","0.463","5.6","1.5","1.7","0.3","0.2","0.8","7.1","7.3","8.8","7.8","99.2","113.1"
"357","Montrezl Harrell","Phi","F-C","29.1","51","12.3","18.1","14.3","85","0.694","184","0.609","2","0","0.602","0.633","5.5","2.7","0.6","0.3","0.5","0.6","8.3","6.2","8.9","6.7","125.6","104.2"
"358","Jaxson Hayes","Nor","C-F","22.8","41","14.2","15.6","16.9","83","0.699","120","0.667","27","0.111","0.575","0.618","5.5","3","0.8","0.5","0.5","0.7","8.6","6.4","9.4","6.7","119.2","104"
"359","Cory Joseph","Det","G","31.6","49","17.3","14.6","14.1","51","0.784","128","0.484","104","0.337","0.494","0.529","5.5","1.5","3.3","0.5","0.1","0.8","7","8.8","10.3","7","116.5","114.5"
"360","Nikola Jovic","Mia","F","19.8","15","13.6","18.9","12.6","19","0.947","34","0.588","35","0.229","0.464","0.53","5.5","2.1","0.7","0.5","0.1","0.7","7.5","6.1","8.2","5.9","105.9","105.7"
"361","Otto Porter Jr.","Tor","F","29.8","8","18.3","10.9","11.6","8","1","13","0.692","17","0.353","0.6","0.656","5.5","2.4","1","1.4","0","0.5","7.9","6.5","8.9","5.2","132.2","112"
"362","Darius Bazley","Okc","F-G","22.7","36","15.4","15.7","12.2","65","0.554","113","0.469","45","0.4","0.506","0.525","5.4","3.4","0.9","0.5","0.8","0.6","8.8","6.3","9.7","6.6","108.4","109.9"
"363","Lamar Stevens","Cle","F","25.7","50","18.1","13.6","9.4","47","0.723","154","0.539","76","0.303","0.511","0.537","5.4","3.3","0.6","0.4","0.3","0.5","8.6","5.9","9.2","4.9","110.4","106"
"364","MarJon Beauchamp","Mil","F","22.4","41","14","18.6","15.3","29","0.724","85","0.494","120","0.317","0.483","0.503","5.3","2.2","0.6","0.4","0.1","0.9","7.6","6","8.2","5.5","98.2","103.8"
"365","Josh Christopher","Hou","G","21.3","49","11.5","21.4","16.5","44","0.75","164","0.53","63","0.27","0.496","0.524","5.3","1.1","1","0.4","0.2","0.9","6.4","6.3","7.4","6.3","100.4","115"
"366","Devonte' Graham","Nor","G","28.1","53","15.3","15","10.5","59","0.746","41","0.463","190","0.347","0.511","0.545","5.3","1.4","2.2","0.6","0.2","0.5","6.6","7.5","8.8","6.6","118.1","111.4"
"367","Jalen Johnson","Atl","F","21.2","62","14.7","15.2","10","64","0.656","183","0.574","88","0.295","0.531","0.552","5.3","4","1","0.5","0.4","0.5","9.3","6.4","10.4","7.5","115.3","106"
"368","Ricky Rubio","Cle","G","32.4","22","16.8","18.1","15.2","25","0.76","55","0.4","62","0.29","0.419","0.457","5.3","2.3","3.4","1","0.2","1","7.6","8.7","11","8.2","104.3","102.9"
"369","Kira Lewis Jr.","Nor","G","21.9","20","10.9","20","10.7","20","0.85","53","0.453","30","0.433","0.524","0.566","5.2","1.6","0.9","0.5","0.1","0.5","6.8","6.1","7.7","7.2","112.7","104.3"
"370","Lindy Waters III","Okc","F","25.6","31","12.1","16.1","5.9","18","0.833","10","0.7","118","0.373","0.57","0.592","5.2","1.8","0.7","0.4","0.3","0.3","7","5.9","7.7","6.2","122","109.1"
"371","Zeke Nnaji","Den","F-C","22.2","44","13.3","14.6","11.6","54","0.667","107","0.692","45","0.289","0.615","0.634","5.1","2.3","0.3","0.3","0.4","0.5","7.4","5.3","7.6","4.6","126.9","104.6"
"372","Austin Rivers","Min","G","30.6","50","20.1","10.5","10","39","0.769","85","0.565","122","0.352","0.543","0.569","5.1","1.6","1.5","0.6","0.1","0.5","6.7","6.6","8.2","4.6","115.2","111.9"
"373","Ziaire Williams","Mem","F","21.5","34","15.1","16.8","16.8","17","0.765","83","0.59","85","0.247","0.479","0.496","5.1","2.1","0.7","0.4","0.1","1","7.3","5.9","8","5.2","92.4","104"
"374","Patrick Baldwin Jr.","Gol","F","20.3","23","8.8","23.2","9.1","6","0.667","23","0.435","76","0.395","0.556","0.561","5","1.5","0.3","0.3","0.2","0.4","6.4","5.2","6.7","6","100","111"
"375","Rudy Gay","Uta","F-G","36.6","52","14.5","17.3","11.9","44","0.864","144","0.493","114","0.228","0.426","0.465","5","3","1","0.3","0.3","0.7","8","6","9","6.8","99.7","109.7"
"376","George Hill","Mil","G","36.9","35","19.1","11.3","16.9","46","0.739","58","0.621","74","0.311","0.534","0.575","5","1.9","2.5","0.5","0.1","0.8","6.9","7.5","9.5","6","120.9","109.1"
"377","Justin Holiday","Dal","F-G","33.9","8","18.7","13","11.9","2","0","6","0.333","31","0.387","0.541","0.528","5","1.8","1","1","0.8","0.6","6.8","6","7.8","4.4","99.9","106.3"
"378","Jonathan Isaac","Orl","F","25.4","11","11.3","21.2","7","9","0.556","38","0.421","15","0.4","0.472","0.483","5","4","0.5","1.3","0.4","0.4","9","5.5","9.5","7.6","108.5","105.6"
"379","Cody Martin","Cha","F","27.5","7","19.1","12.9","5.2","7","0.571","22","0.5","14","0.214","0.431","0.448","5","3.4","1.6","0.6","0.1","0.3","8.4","6.6","10","6.3","108.2","109.3"
"380","Chimezie Metu","Sac","F-C","26","53","11.1","16.8","13.4","50","0.76","148","0.689","32","0.25","0.633","0.658","5","3.1","0.7","0.4","0.3","0.5","8.2","5.7","8.8","8","127.1","104.4"
"381","Thomas Bryant","Den","C-F","25.6","11","12.1","17.5","13","17","0.706","37","0.486","3","0.667","0.525","0.569","4.9","3.8","0.1","0.2","0.5","0.5","8.7","5","8.8","4.1","114.3","103.5"
"382","Isaiah Hartenstein","Nyk","C-F","24.9","70","19.5","11.4","16.1","58","0.741","247","0.559","35","0.229","0.532","0.558","4.9","6.5","0.9","0.6","0.8","0.8","11.4","5.8","12.4","6.3","123.5","100.6"
"383","Derrick Jones Jr.","Chi","F","26.1","51","14","13.9","10.6","68","0.794","121","0.595","55","0.327","0.563","0.612","4.9","2.4","0.6","0.4","0.6","0.4","7.4","5.5","8","5.5","126.2","106.5"
"384","Svi Mykhailiuk","Cha","G-F","25.8","7","13.4","15.8","9","5","0.4","17","0.412","13","0.462","0.533","0.528","4.9","1","0.9","0.1","0","0.4","5.9","5.7","6.7","4.9","105.5","118.3"
"385","Eugene Omoruyi","Okc","F","26.1","23","11.8","18.8","14.5","28","0.607","63","0.571","31","0.258","0.511","0.531","4.9","2.3","0.5","0.6","0","0.7","7.2","5.4","7.7","6","105.2","99.3"
"386","Malachi Flynn","Tor","G","24.8","43","13.7","16.5","8.2","24","0.708","89","0.36","111","0.378","0.475","0.492","4.8","1.5","1.5","0.4","0.1","0.4","6.3","6.3","7.8","6.5","109.3","109.8"
"387","DeAndre Jordan","Den","C","34.6","35","14.3","13.6","30.2","41","0.439","96","0.771","1","1","0.778","0.735","4.8","4.8","0.9","0.2","0.6","1.2","9.6","5.7","10.5","7.7","116","101.4"
"388","Garrison Mathews","Hou","G","26.4","45","13.4","14.3","9.6","45","0.911","15","0.467","155","0.342","0.509","0.564","4.8","1.4","0.5","0.5","0.1","0.4","6.1","5.3","6.6","4.5","116.6","113.1"
"389","Dean Wade","Cle","F-C","26.3","37","20.3","10.2","8.6","23","0.652","43","0.558","105","0.362","0.547","0.56","4.8","3.5","0.9","0.6","0.5","0.4","8.3","5.6","9.2","4.9","115","101.5"
"390","Blake Griffin","Bos","F","34","30","14.4","13.4","13.2","24","0.625","53","0.642","52","0.365","0.595","0.606","4.7","3.5","1.3","0.4","0.2","0.5","8.2","6","9.5","7.7","125.9","99.5"
"391","Chuma Okeke","Orl","F","24.6","22","18.8","11.8","10.5","21","0.762","28","0.5","65","0.308","0.473","0.509","4.7","3.5","1.2","0.5","0.4","0.5","8.3","5.9","9.5","5.8","112.6","108.5"
"392","Payton Pritchard","Bos","G","25.1","45","12.5","18.9","13.1","15","0.733","78","0.487","127","0.331","0.493","0.503","4.7","1.5","1","0.3","0","0.7","6.2","5.8","7.3","6.1","100.8","110.5"
"393","TyTy Washington Jr.","Hou","G","21.3","29","13.8","18","8.4","16","0.625","77","0.494","76","0.224","0.415","0.428","4.7","1.4","1.6","0.4","0.1","0.5","6.1","6.3","7.8","6.4","97.9","116"
"394","Blake Wesley","San","G","20","22","15.8","18.7","23.6","21","0.619","82","0.317","31","0.419","0.403","0.425","4.7","1.9","1.8","0.5","0.1","1.6","6.6","6.5","8.4","6.4","79.8","111"
"395","Cody Zeller","Mia","F-C","30.4","10","13","16","21.4","23","0.739","28","0.536","1","0","0.517","0.601","4.7","3.5","0.6","0.2","0.4","0.8","8.2","5.3","8.8","6.6","120.3","96.4"
"396","Moses Brown","Lac","C","23.4","34","8.5","21.6","12.7","72","0.458","96","0.635","0","0","0.635","0.607","4.6","4.1","0.1","0.1","0.4","0.4","8.6","4.7","8.8","5.8","125.8","100"
"397","Simone Fontecchio","Uta","F","27.3","39","11.6","19.1","12.4","32","0.781","60","0.433","109","0.312","0.456","0.489","4.6","1.3","0.7","0.3","0.2","0.6","5.9","5.3","6.5","5.6","100.9","113"
"398","A.J. Green","Mil","G","23.5","30","9.7","17.1","6.9","4","1","18","0.5","90","0.433","0.625","0.633","4.6","1.2","0.6","0.2","0","0.3","5.8","5.3","6.4","6.1","124.8","105"
"399","Haywood Highsmith","Mia","F","26.3","45","19","12.2","15.5","24","0.458","89","0.506","101","0.356","0.521","0.521","4.6","3.6","0.7","0.7","0.3","0.8","8.2","5.3","8.9","4.8","102","105.7"
"400","Damian Jones","Uta","C","27.7","7","15.2","9.5","22.4","5","0.8","15","0.733","2","1","0.824","0.833","4.6","3.3","0.6","0","0.9","0.7","7.9","5.1","8.4","5.5","139.6","103"
"401","Moses Moody","Gol","G","20.8","51","13.2","14.6","13.9","44","0.727","69","0.609","117","0.333","0.54","0.567","4.6","1.6","0.8","0.3","0.1","0.6","6.2","5.4","7","5.5","110","114.3"
"402","Justin Holiday","Atl","F-G","33.9","28","14.7","14.1","8.8","0","0","38","0.474","87","0.345","0.504","0.504","4.5","0.8","0.9","0.2","0.4","0.4","5.3","5.4","6.2","4","101.1","113.3"
"403","Johnny Juzang","Uta","G","22","6","11.4","19.4","6.5","2","0","8","0.375","21","0.333","0.466","0.452","4.5","1","0.2","0.3","0.5","0.3","5.5","4.7","5.7","3.4","92.1","109.5"
"404","Mo Bamba","Lal","C","24.8","7","11.5","19.2","24.8","11","0.545","9","0.556","15","0.333","0.521","0.537","4.4","5.3","0.6","0.1","0.6","1.1","9.7","5","10.3","8.4","99.5","90.2"
"405","Dalano Banton","Tor","F","23.3","27","9.3","23.3","12.4","19","0.789","67","0.493","46","0.283","0.465","0.494","4.4","1.3","1.1","0.5","0.4","0.6","5.8","5.5","6.9","7.9","102.6","104.4"
"406","Jamal Cain","Mia","F","24","15","12.4","14.5","7.4","16","0.75","38","0.632","12","0.167","0.54","0.579","4.4","2.6","0.6","0.5","0","0.3","7","5","7.6","6.1","123.5","105.5"
"407","Jarrett Culver","Atl","G-F","24.1","10","13.7","17.2","13.9","13","0.692","31","0.516","12","0.083","0.407","0.452","4.4","3.8","0.6","0.6","0.2","0.7","8.2","5","8.8","6.3","96.3","105.8"
"408","Danuel House Jr.","Phi","F-G","29.8","43","14.2","12.5","11.7","42","0.714","54","0.685","81","0.346","0.585","0.612","4.4","1.7","0.7","0.2","0.2","0.4","6.1","5.1","6.8","4.9","117.3","109"
"409","Daishen Nix","Hou","G","21.1","47","16.7","15.2","25.2","34","0.676","86","0.43","118","0.305","0.446","0.468","4.4","1.8","2.6","0.6","0.1","1.5","6.2","6.9","8.7","6.6","93.4","115.9"
"410","Thaddeus Young","Tor","F","34.7","54","14.7","13.5","17.5","26","0.692","164","0.622","34","0.176","0.561","0.573","4.4","3.1","1.4","1","0.1","0.8","7.5","5.8","8.9","7.3","116.5","104.6"
"411","Davis Bertans","Dal","F","30.3","36","10.6","15.9","7","12","0.833","14","0.714","105","0.39","0.601","0.616","4.3","1","0.4","0.3","0.1","0.3","5.3","4.7","5.7","4.5","119.4","109.6"
"412","James Bouknight","Cha","G","22.5","26","13.6","17.8","13.4","22","0.682","58","0.414","64","0.25","0.393","0.421","4.3","2","1.1","0.5","0.2","0.7","6.2","5.3","7.3","6.2","86.3","110.3"
"413","Ish Wainright","Pho","F","28.5","49","15.1","12.5","10.2","25","0.84","45","0.489","140","0.343","0.508","0.533","4.3","2.2","0.9","0.7","0.3","0.4","6.4","5.2","7.4","5.4","115.3","102.7"
"414","Christian Braun","Den","G","21.9","62","14.4","12.3","11.6","46","0.609","140","0.55","66","0.409","0.57","0.581","4.2","2.2","0.8","0.4","0.2","0.4","6.5","5","7.2","5.4","117.1","110.1"
"415","Dyson Daniels","Nor","G","20","46","19.3","11.4","21.6","35","0.629","102","0.51","72","0.306","0.489","0.507","4.2","3.4","2.5","0.8","0.2","1","7.5","6.7","10","6.8","104.8","105.7"
"416","Admiral Schofield","Orl","F","26","31","11.9","12.8","5.9","19","0.895","38","0.684","57","0.351","0.589","0.624","4.2","1.7","0.8","0.2","0.1","0.2","5.8","5","6.6","6","134.2","103.9"
"417","Bruno Fernando","Hou","F-C","24.6","31","11.7","15.1","17.7","44","0.682","92","0.522","1","0","0.516","0.561","4.1","3.9","1","0.2","1","0.6","8","5","9","8.6","118.5","100.5"
"418","Serge Ibaka","Mil","F","33.5","16","11.6","16.1","16.9","13","0.615","36","0.556","18","0.333","0.537","0.553","4.1","2.8","0.3","0.1","0.4","0.7","6.9","4.4","7.1","5.2","104.9","101.3"
"419","JaVale McGee","Dal","C-F","35.1","36","8.1","23.4","22.6","32","0.563","102","0.618","4","0.25","0.608","0.612","4.1","2.6","0.3","0.1","0.6","0.9","6.7","4.4","6.9","7.3","105","101.3"
"420","Gary Payton II","Por","G","30.3","15","17.1","9.3","22.5","4","1","24","0.625","17","0.529","0.695","0.713","4.1","2.6","1.5","1","0.1","0.8","6.7","5.5","8.1","5.9","127.3","107.4"
"421","Isaiah Roby","San","F","25.1","42","11.3","17.8","16.6","41","0.488","95","0.516","60","0.3","0.49","0.497","4.1","2.5","0.9","0.4","0.2","0.7","6.6","5","7.5","7.4","96.9","109.7"
"422","Day'Ron Sharpe","Bro","F","21.3","36","11.2","18.7","22.3","28","0.607","113","0.513","9","0.556","0.537","0.551","4.1","3.8","0.8","0.2","0.6","1","7.9","4.9","8.7","8.3","110.9","97.6"
"423","Danny Green","Cle","G","35.7","4","9.1","16.5","22.3","1","1","1","0","9","0.556","0.75","0.766","4","0.3","0","0.5","0.3","0.8","4.3","4","4.3","0","106.1","106.1"
"424","Aaron Holiday","Atl","G","26.4","53","13.8","13.4","13.7","28","0.857","114","0.421","75","0.413","0.5","0.529","4","1.2","1.2","0.5","0.2","0.6","5.3","5.2","6.5","5.2","108.5","111.2"
"425","Keon Johnson","Por","G","21","35","9.6","24.9","19.1","28","0.607","78","0.372","66","0.333","0.431","0.451","4","1.1","1.1","0.4","0.2","1","5.1","5.2","6.3","7","87.9","109.2"
"426","Rodney McGruder","Det","G","31.6","27","13.2","12.5","9.2","17","0.765","27","0.407","61","0.393","0.534","0.56","4","1.6","0.7","0.3","0","0.3","5.5","4.7","6.3","5","116.7","115.9"
"427","Dewayne Dedmon","Phi","C","33.6","1","4.8","18.6","0","0","0","2","1","0","0","1","1","4","1","1","0","0","0","5","5","6","13.2","205.7","93.7"
"428","Caleb Houstan","Orl","G","20.2","39","15.4","10.8","8.3","13","0.846","38","0.447","95","0.379","0.534","0.551","3.9","2.1","0.5","0.2","0.1","0.3","6","4.4","6.5","4.2","115.8","110.4"
"429","Orlando Robinson","Mia","C","22.7","29","13.7","12.6","14.8","29","0.724","81","0.568","5","0","0.535","0.572","3.9","4.1","0.7","0.4","0.4","0.5","8","4.6","8.7","6.5","122.6","99.5"
"430","Matt Ryan","Lal","F","25.9","12","10.8","17.7","5.7","5","0.8","14","0.143","35","0.371","0.439","0.459","3.9","1.2","0.3","0.2","0","0.3","5.1","4.3","5.4","4.1","94.4","107.5"
"431","Jamaree Bouyea","Mia","G","23.7","4","16.3","12.2","23.2","2","0.5","8","0.5","5","0.4","0.538","0.54","3.8","1.3","1","1","0.5","1","5","4.8","6","4.2","93","106.8"
"432","Darius Days","Hou","F","23.4","4","6.3","21.3","0","2","1","2","1","10","0.3","0.542","0.582","3.8","1.5","0.3","0","0.3","0","5.3","4","5.5","7.6","130.8","113.6"
"433","Nathan Knight","Min","F-C","25.5","34","8.1","18.2","20.1","53","0.679","54","0.648","21","0.381","0.627","0.661","3.8","1.5","0.4","0.3","0.2","0.6","5.4","4.2","5.7","6.5","121","104.9"
"434","Furkan Korkmaz","Phi","G-F","25.6","27","9.8","19.5","18.6","30","0.667","46","0.478","37","0.351","0.5","0.535","3.8","1.1","0.7","0.2","0.1","0.7","4.9","4.5","5.6","5.8","98.8","114.3"
"435","Matt Ryan","Min","F","25.9","20","8.7","16","6.4","7","0.857","10","0.6","48","0.396","0.595","0.614","3.8","0.6","0.6","0.2","0.1","0.2","4.3","4.3","4.9","5.1","121.4","113.9"
"436","Bismack Biyombo","Pho","C","30.5","48","13.6","13.4","23.6","51","0.314","139","0.576","0","0","0.576","0.545","3.7","3.9","0.9","0.3","1.2","0.9","7.6","4.6","8.5","6.9","102.1","100.8"
"437","Amir Coffey","Lac","G-F","25.7","44","13.5","13.6","11.3","57","0.789","103","0.427","38","0.263","0.418","0.491","3.7","1.2","1.2","0.2","0.1","0.4","4.9","4.9","6","5.2","108.7","111.5"
"438","George Hill","Ind","G","36.9","3","14.1","10.9","27.3","0","0","5","0.8","3","0.333","0.688","0.688","3.7","1.7","1.7","1","0.3","1","5.3","5.3","7","6.2","112.8","112.8"
"439","Luke Kornet","Bos","F-C","27.7","56","11.5","11.2","14.2","36","0.806","118","0.712","9","0.333","0.697","0.721","3.7","2.8","0.7","0.2","0.7","0.4","6.5","4.3","7.1","6.7","146.9","104.4"
"440","Bryn Forbes","Min","G","29.6","25","10.7","16.2","12.6","15","1","37","0.432","46","0.304","0.446","0.497","3.6","0.6","0.7","0.3","0.1","0.5","4.2","4.2","4.8","4.3","98.7","112.9"
"441","Kevon Harris","Orl","G","25.7","27","12.4","13.4","17.1","27","0.815","49","0.429","28","0.393","0.487","0.546","3.6","2","0.4","0.5","0.1","0.6","5.6","4","6","4.6","109.2","106.8"
"442","Bryce McGowens","Cha","G","20.3","34","14.7","12.6","14.9","36","0.75","71","0.38","43","0.326","0.421","0.474","3.6","1.8","0.8","0.2","0.1","0.6","5.4","4.4","6.2","4.7","96.5","115.5"
"443","Jordan McLaughlin","Min","G","26.9","31","15.3","11.8","17.3","10","0.9","48","0.625","57","0.246","0.486","0.507","3.6","1.5","2.9","0.8","0.1","0.7","5.1","6.5","8","6.5","115.4","115.5"
"444","Markieff Morris","Bro","F","33.5","27","10.6","15.6","14.5","10","1","33","0.394","49","0.408","0.524","0.556","3.6","2.2","0.9","0.3","0.2","0.5","5.7","4.5","6.7","7.3","110.9","105.3"
"445","Ryan Arcidiacono","Por","G","29","4","15","10.9","20","0","0","5","0.2","7","0.571","0.583","0.583","3.5","1.8","1.8","0.3","0","0.8","5.3","5.3","7","6","109.4","107.6"
"446","Max Christie","Lal","G","20.1","37","13.7","10.3","10.2","16","0.875","43","0.419","62","0.419","0.543","0.571","3.5","2","0.5","0.2","0.2","0.3","5.5","4","6","4.4","111.4","110.8"
"447","Jericho Sims","Nyk","C","24.4","49","15.8","7.6","19.9","16","0.75","103","0.777","1","0","0.769","0.774","3.5","4.7","0.5","0.3","0.6","0.5","8.2","4","8.7","5.1","145","103.2"
